gameId,year,season,gameWeek,awayTeam.fullName,homeTeam.fullName,odds.spread,odds.total,odds.history,crowd.awayTeam.score,crowd.homeTeam.score,crowd.spread,crowd.total,crowd.results.winner.correct,crowd.results.winner.push,crowd.results.spread.correct,crowd.results.spread.push,crowd.results.total.correct,crowd.results.total.push,crowd.results.predictionScore,results.awayTeam.score,results.homeTeam.score,results.total,results.spread,startDateTime,
1254900,2020,reg,12,Houston Texans,Detroit Lions,3,51,"[{""date"":{""$date"":""2020-08-28T18:36:26.040Z""},""spread"":-2,""total"":NaN},{""date"":{""$date"":""2020-08-29T09:00:51.992Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-08-29T09:02:54.232Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-08-29T09:05:41.334Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-08-30T09:00:52.742Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-08-30T09:02:57.244Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-08-30T09:06:00.545Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-08-31T09:00:53.301Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-08-31T09:02:51.603Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-08-31T09:05:44.704Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-01T09:02:53.565Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-01T09:05:57.785Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-02T09:00:41.933Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-02T09:01:00.271Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-02T09:02:43.131Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-02T09:05:51.892Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-02T09:05:59.372Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-03T09:05:03.557Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-04T09:00:58.705Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-04T09:05:27.488Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-05T09:00:57.006Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-05T09:02:52.867Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-05T09:05:54.191Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-05T09:06:00.212Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-05T22:04:25.150Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-05T22:04:32.549Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-06T09:02:56.928Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-06T09:05:41.887Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-06T09:05:50.095Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-07T09:02:51.143Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-08T09:02:57.165Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-09T09:02:30.615Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-09T09:05:42.655Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-10T09:00:51.043Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-10T09:05:19.901Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-11T09:02:54.376Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-11T09:06:01.617Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-12T09:00:58.388Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-12T09:03:03.968Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-12T09:06:09.628Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-13T09:05:47.935Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-14T09:02:31.140Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-15T09:05:42.329Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-16T09:00:53.063Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-16T09:00:59.802Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-16T09:02:56.842Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-16T09:05:39.405Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-16T09:05:46.882Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-17T09:02:59.992Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-17T09:06:09.753Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-18T09:00:56.613Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-18T09:02:55.816Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-18T09:03:02.053Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-18T09:06:08.556Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-19T09:06:11.642Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-20T08:18:21.863Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-20T09:00:58.709Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-20T09:05:27.348Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-21T09:05:19.708Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-22T09:05:19.376Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-23T09:03:01.001Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-23T09:06:01.080Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-24T09:02:35.844Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-24T09:05:25.085Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-25T09:00:55.771Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-25T09:03:03.294Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-25T09:06:01.955Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-26T09:00:44.312Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-26T09:00:57.912Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-26T09:02:59.794Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-27T09:00:41.322Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-27T09:01:00.381Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-27T09:05:46.502Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-28T09:00:57.368Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-28T09:02:59.908Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-28T09:05:50.809Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-28T09:05:53.848Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-28T09:06:04.388Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-29T09:00:58.272Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-30T09:00:59.075Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-30T09:02:48.975Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-09-30T09:05:52.476Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-01T09:00:59.327Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-01T09:02:53.749Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-01T22:17:52.749Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-02T09:00:35.537Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-02T09:00:52.155Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-02T09:00:59.197Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-02T09:02:34.738Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-02T09:02:56.259Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-02T09:05:46.437Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-03T09:00:37.124Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-03T09:02:39.986Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-03T09:02:58.804Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-03T09:05:41.305Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-03T09:05:59.463Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-03T18:46:08.523Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-03T18:46:27.163Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-03T19:30:42.067Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-04T09:00:41.590Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-04T09:01:24.872Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-04T09:03:02.012Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-04T09:03:11.832Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-04T09:03:20.992Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-04T09:03:44.331Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-04T09:06:46.311Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-10-04T09:07:06.594Z""},""total"":"""",""spread"":-2.5},{""date"":{""$date"":""2020-11-20T09:00:37.478Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-20T09:00:42.119Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-20T09:00:53.479Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-20T09:01:28.038Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-20T09:02:34.259Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-20T09:06:54.083Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-20T09:07:04.302Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-20T09:07:27.120Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-21T09:00:49.624Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-21T09:01:13.708Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-21T09:03:33.004Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-21T09:06:57.404Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-21T09:07:40.446Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-22T09:00:34.581Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-22T09:00:44.762Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-22T09:01:14.865Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-22T09:01:18.024Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-22T09:01:26.905Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-22T09:03:09.824Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-22T09:03:26.423Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-22T09:03:49.163Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-22T09:06:49.348Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-22T09:07:00.245Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-22T09:07:18.725Z""},""total"":"""",""spread"":-2},{""date"":{""$date"":""2020-11-23T09:00:18.115Z""},""total"":51,""spread"":2.5},{""date"":{""$date"":""2020-11-23T09:03:10.894Z""},""total"":51,""spread"":2.5},{""date"":{""$date"":""2020-11-23T09:03:57.497Z""},""total"":51,""spread"":2.5},{""date"":{""$date"":""2020-11-23T09:06:22.735Z""},""total"":51,""spread"":2.5},{""date"":{""$date"":""2020-11-23T09:06:35.094Z""},""total"":51,""spread"":2.5},{""date"":{""$date"":""2020-11-23T09:06:55.833Z""},""total"":51,""spread"":2.5},{""date"":{""$date"":""2020-11-23T09:07:14.074Z""},""total"":51,""spread"":2.5},{""date"":{""$date"":""2020-11-24T09:00:25.006Z""},""total"":51.5,""spread"":2.5},{""date"":{""$date"":""2020-11-24T09:00:30.546Z""},""total"":51.5,""spread"":2.5},{""date"":{""$date"":""2020-11-24T09:00:35.765Z""},""total"":51.5,""spread"":2.5},{""date"":{""$date"":""2020-11-24T09:01:12.806Z""},""total"":51.5,""spread"":2.5},{""date"":{""$date"":""2020-11-24T09:03:26.226Z""},""total"":51.5,""spread"":2.5},{""date"":{""$date"":""2020-11-24T09:04:02.304Z""},""total"":51.5,""spread"":2.5},{""date"":{""$date"":""2020-11-24T09:06:10.245Z""},""total"":51.5,""spread"":2.5},{""date"":{""$date"":""2020-11-25T09:00:32.596Z""},""total"":51.5,""spread"":3},{""date"":{""$date"":""2020-11-25T09:00:36.937Z""},""total"":51.5,""spread"":3},{""date"":{""$date"":""2020-11-25T09:01:29.539Z""},""total"":51.5,""spread"":3},{""date"":{""$date"":""2020-11-25T09:02:56.758Z""},""total"":51.5,""spread"":3},{""date"":{""$date"":""2020-11-25T09:06:44.660Z""},""total"":51.5,""spread"":3},{""date"":{""$date"":""2020-11-25T09:07:20.760Z""},""total"":51.5,""spread"":3},{""date"":{""$date"":""2020-11-26T09:00:16.793Z""},""total"":51,""spread"":3},{""date"":{""$date"":""2020-11-26T09:03:55.455Z""},""total"":51,""spread"":3},{""date"":{""$date"":""2020-11-26T09:06:53.194Z""},""total"":51,""spread"":3},{""date"":{""$date"":""2020-11-26T09:07:28.255Z""},""total"":51,""spread"":3}]",24.17,20.17,4,44.33,1,0,1,0,0,0,4,41,25,66,16,2020-11-26T17:30:00.000Z,
1254970,2020,reg,12,Chicago Bears,Green Bay Packers,-9.5,44.5,"[{""date"":{""$date"":""2020-11-18T09:00:44.118Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-18T09:01:13.018Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-18T09:03:08.979Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-18T09:03:47.460Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-18T09:07:30.282Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-19T09:00:27.339Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-19T09:00:40.619Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-19T09:01:18.499Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-19T09:03:25.481Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-19T09:03:31.880Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-19T09:03:52.940Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-19T09:06:34.125Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-19T09:07:17.422Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-20T09:00:36.357Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-20T09:00:48.137Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-20T09:00:59.259Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-20T09:01:13.557Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-20T09:03:46.439Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-20T09:06:46.341Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-20T09:07:02.799Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-20T09:07:32.459Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-21T09:00:52.244Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-21T09:01:15.147Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-21T09:03:44.106Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-21T09:06:48.684Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-21T09:07:05.047Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-21T09:07:36.064Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-22T09:00:33.801Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-22T09:00:47.521Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-22T09:01:13.743Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-22T09:01:30.684Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-22T09:03:17.642Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-22T09:04:02.843Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-22T09:06:50.926Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-22T09:07:04.025Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-22T09:07:25.685Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-23T09:00:28.175Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-23T09:00:29.654Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-23T09:00:40.695Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-23T09:00:51.254Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-23T09:01:31.694Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-23T09:03:12.415Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-23T09:04:03.154Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-23T09:06:36.915Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-23T09:06:50.993Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-23T09:07:20.499Z""},""total"":"""",""spread"":-7.5},{""date"":{""$date"":""2020-11-24T09:00:27.025Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-24T09:00:29.606Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-24T09:00:37.566Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-24T09:01:07.245Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-24T09:03:29.068Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-24T09:04:00.664Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-24T09:06:39.004Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-24T09:07:15.285Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-25T09:00:33.096Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-25T09:00:42.078Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-25T09:01:27.901Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-25T09:03:11.918Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-25T09:03:46.962Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-25T09:06:26.400Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-25T09:07:10.003Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-26T09:00:35.194Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-26T09:00:40.552Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-26T09:01:02.574Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-26T09:01:22.772Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-26T09:03:51.634Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-26T09:06:50.314Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-26T09:07:26.635Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-27T09:00:28.283Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-27T09:00:37.064Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-27T09:01:22.942Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-27T09:03:08.326Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-27T09:03:37.663Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-27T09:04:02.385Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-27T09:06:43.083Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-27T09:07:03.083Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-27T09:07:36.523Z""},""total"":45,""spread"":-8.5},{""date"":{""$date"":""2020-11-28T09:00:27.592Z""},""total"":44.5,""spread"":-9.5},{""date"":{""$date"":""2020-11-28T09:00:44.695Z""},""total"":44.5,""spread"":-9.5},{""date"":{""$date"":""2020-11-28T09:01:14.572Z""},""total"":44.5,""spread"":-9.5},{""date"":{""$date"":""2020-11-28T09:03:23.374Z""},""total"":44.5,""spread"":-9.5},{""date"":{""$date"":""2020-11-28T09:06:19.693Z""},""total"":44.5,""spread"":-9.5},{""date"":{""$date"":""2020-11-28T09:06:27.494Z""},""total"":44.5,""spread"":-9.5},{""date"":{""$date"":""2020-11-28T09:07:05.835Z""},""total"":44.5,""spread"":-9.5}]",17.6,27.4,-9.8,45,,,,,,,,,,,,2020-11-30T01:20:00.000Z,
