code,fullName,year,season,sport,wins,overOdds,underOdds,history
DET,Detroit Lions,2023,reg,nfl,9.5,-150,130,"[{""date"":{""$date"":""2023-04-21T10:17:27.442Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-04-21T10:18:43.494Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-04-25T14:32:05.052Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-04-27T14:19:06.211Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-04-28T11:50:28.861Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-05-04T09:29:32.254Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":130},{""date"":{""$date"":""2023-05-09T11:43:18.156Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":130},{""date"":{""$date"":""2023-05-11T18:59:49.937Z""},""wins"":9.5,""overOdds"":-150,""underOdds"":130}]"
GB,Green Bay Packers,2023,reg,nfl,7.5,-110,-110,"[{""date"":{""$date"":""2023-04-21T10:17:32.846Z""},""wins"":7.5,""overOdds"":120,""underOdds"":-150},{""date"":{""$date"":""2023-04-21T10:18:46.650Z""},""wins"":7.5,""overOdds"":120,""underOdds"":-150},{""date"":{""$date"":""2023-04-25T14:32:05.311Z""},""wins"":7.5,""overOdds"":120,""underOdds"":-150},{""date"":{""$date"":""2023-04-27T14:19:06.506Z""},""wins"":7.5,""overOdds"":120,""underOdds"":-150},{""date"":{""$date"":""2023-04-28T11:50:29.219Z""},""wins"":7.5,""overOdds"":120,""underOdds"":-150},{""date"":{""$date"":""2023-05-04T09:29:32.549Z""},""wins"":7.5,""overOdds"":125,""underOdds"":-145},{""date"":{""$date"":""2023-05-09T11:43:18.389Z""},""wins"":7.5,""overOdds"":120,""underOdds"":-140},{""date"":{""$date"":""2023-05-11T18:59:50.225Z""},""wins"":7.5,""overOdds"":-110,""underOdds"":-110}]"
HOU,Houston Texans,2023,reg,nfl,6.5,110,-130,"[{""date"":{""$date"":""2023-04-21T10:17:31.904Z""},""wins"":5.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-21T10:18:45.735Z""},""wins"":5.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-25T14:32:05.537Z""},""wins"":5.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-27T14:19:06.724Z""},""wins"":5.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-28T11:50:29.447Z""},""wins"":5.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-05-04T09:29:32.831Z""},""wins"":6.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-05-09T11:43:18.653Z""},""wins"":6.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-05-11T18:59:50.537Z""},""wins"":6.5,""overOdds"":110,""underOdds"":-130}]"
IND,Indianapolis Colts,2023,reg,nfl,6.5,-140,120,"[{""date"":{""$date"":""2023-04-21T10:17:35.808Z""},""wins"":6.5,""overOdds"":-140,""underOdds"":115},{""date"":{""$date"":""2023-04-21T10:18:46.973Z""},""wins"":6.5,""overOdds"":-140,""underOdds"":115},{""date"":{""$date"":""2023-04-25T14:32:05.757Z""},""wins"":6.5,""overOdds"":-140,""underOdds"":115},{""date"":{""$date"":""2023-04-27T14:19:07.289Z""},""wins"":6.5,""overOdds"":-140,""underOdds"":115},{""date"":{""$date"":""2023-04-28T11:50:29.765Z""},""wins"":6.5,""overOdds"":-140,""underOdds"":115},{""date"":{""$date"":""2023-05-04T09:29:33.118Z""},""wins"":6.5,""overOdds"":-140,""underOdds"":120},{""date"":{""$date"":""2023-05-09T11:43:18.889Z""},""wins"":6.5,""overOdds"":-140,""underOdds"":120},{""date"":{""$date"":""2023-05-11T18:59:50.805Z""},""wins"":6.5,""overOdds"":-140,""underOdds"":120}]"
JAC,Jacksonville Jaguars,2023,reg,nfl,10.5,125,-145,"[{""date"":{""$date"":""2023-04-21T10:17:34.568Z""},""wins"":10.5,""overOdds"":115,""underOdds"":-140},{""date"":{""$date"":""2023-04-21T10:18:47.325Z""},""wins"":10.5,""overOdds"":115,""underOdds"":-140},{""date"":{""$date"":""2023-04-25T14:32:05.972Z""},""wins"":10.5,""overOdds"":115,""underOdds"":-140},{""date"":{""$date"":""2023-04-27T14:19:07.559Z""},""wins"":10.5,""overOdds"":115,""underOdds"":-140},{""date"":{""$date"":""2023-04-28T11:50:30.028Z""},""wins"":10.5,""overOdds"":115,""underOdds"":-140},{""date"":{""$date"":""2023-05-04T09:29:33.457Z""},""wins"":10.5,""overOdds"":125,""underOdds"":-145},{""date"":{""$date"":""2023-05-09T11:43:19.174Z""},""wins"":10.5,""overOdds"":125,""underOdds"":-145},{""date"":{""$date"":""2023-05-11T18:59:51.095Z""},""wins"":10.5,""overOdds"":125,""underOdds"":-145}]"
KC,Kansas City Chiefs,2023,reg,nfl,11.5,-140,120,"[{""date"":{""$date"":""2023-04-21T10:17:34.167Z""},""wins"":11.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-21T10:18:49.285Z""},""wins"":11.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-25T14:32:06.218Z""},""wins"":11.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-04-27T14:19:07.839Z""},""wins"":11.5,""overOdds"":-140,""underOdds"":115},{""date"":{""$date"":""2023-04-28T11:50:30.257Z""},""wins"":11.5,""overOdds"":-140,""underOdds"":115},{""date"":{""$date"":""2023-05-04T09:29:33.800Z""},""wins"":11.5,""overOdds"":-140,""underOdds"":120},{""date"":{""$date"":""2023-05-09T11:43:19.398Z""},""wins"":11.5,""overOdds"":-140,""underOdds"":120},{""date"":{""$date"":""2023-05-11T18:59:51.422Z""},""wins"":11.5,""overOdds"":-140,""underOdds"":120}]"
LAC,Los Angeles Chargers,2023,reg,nfl,9.5,-110,-110,"[{""date"":{""$date"":""2023-04-21T10:17:33.784Z""},""wins"":9.5,""overOdds"":-125,""underOdds"":105},{""date"":{""$date"":""2023-04-21T10:18:45.439Z""},""wins"":9.5,""overOdds"":-125,""underOdds"":105},{""date"":{""$date"":""2023-04-25T14:32:06.447Z""},""wins"":9.5,""overOdds"":-125,""underOdds"":105},{""date"":{""$date"":""2023-04-27T14:19:08.095Z""},""wins"":9.5,""overOdds"":-125,""underOdds"":105},{""date"":{""$date"":""2023-04-28T11:50:30.523Z""},""wins"":9.5,""overOdds"":-125,""underOdds"":105},{""date"":{""$date"":""2023-05-04T09:29:34.135Z""},""wins"":9.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-05-09T11:43:19.614Z""},""wins"":9.5,""overOdds"":-110,""underOdds"":-110},{""date"":{""$date"":""2023-05-11T18:59:51.736Z""},""wins"":9.5,""overOdds"":-110,""underOdds"":-110}]"
LAR,Los Angeles Rams,2023,reg,nfl,7.5,125,-145,"[{""date"":{""$date"":""2023-04-21T10:17:36.119Z""},""wins"":7.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-04-21T10:18:49.582Z""},""wins"":7.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-04-25T14:32:06.730Z""},""wins"":7.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-04-27T14:19:08.439Z""},""wins"":7.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-04-28T11:50:30.764Z""},""wins"":7.5,""overOdds"":110,""underOdds"":-130},{""date"":{""$date"":""2023-05-04T09:29:34.415Z""},""wins"":7.5,""overOdds"":120,""underOdds"":-140},{""date"":{""$date"":""2023-05-09T11:43:19.852Z""},""wins"":7.5,""overOdds"":125,""underOdds"":-145},{""date"":{""$date"":""2023-05-11T18:59:52.002Z""},""wins"":7.5,""overOdds"":125,""underOdds"":-145}]"
LV,Las Vegas Raiders,2023,reg,nfl,7.5,130,-150,"[{""date"":{""$date"":""2023-04-21T10:17:30.983Z""},""wins"":7.5,""overOdds"":120,""underOdds"":-150},{""date"":{""$date"":""2023-04-21T10:18:52.167Z""},""wins"":7.5,""overOdds"":120,""underOdds"":-150},{""date"":{""$date"":""2023-04-25T14:32:06.951Z""},""wins"":7.5,""overOdds"":120,""underOdds"":-150},{""date"":{""$date"":""2023-04-27T14:19:08.750Z""},""wins"":7.5,""overOdds"":120,""underOdds"":-150},{""date"":{""$date"":""2023-04-28T11:50:31.007Z""},""wins"":7.5,""overOdds"":120,""underOdds"":-150},{""date"":{""$date"":""2023-05-04T09:29:34.718Z""},""wins"":7.5,""overOdds"":130,""underOdds"":-150},{""date"":{""$date"":""2023-05-09T11:43:20.071Z""},""wins"":7.5,""overOdds"":130,""underOdds"":-150},{""date"":{""$date"":""2023-05-11T18:59:52.266Z""},""wins"":7.5,""overOdds"":130,""underOdds"":-150}]"
MIA,Miami Dolphins,2023,reg,nfl,9.5,100,-120,"[{""date"":{""$date"":""2023-04-21T10:17:34.874Z""},""wins"":9.5,""overOdds"":100,""underOdds"":-120},{""date"":{""$date"":""2023-04-21T10:18:48.665Z""},""wins"":9.5,""overOdds"":100,""underOdds"":-120},{""date"":{""$date"":""2023-04-25T14:32:07.171Z""},""wins"":9.5,""overOdds"":100,""underOdds"":-120},{""date"":{""$date"":""2023-04-27T14:19:09.002Z""},""wins"":9.5,""overOdds"":100,""underOdds"":-120},{""date"":{""$date"":""2023-04-28T11:50:31.233Z""},""wins"":9.5,""overOdds"":100,""underOdds"":-120},{""date"":{""$date"":""2023-05-04T09:29:34.988Z""},""wins"":9.5,""overOdds"":100,""underOdds"":-120},{""date"":{""$date"":""2023-05-09T11:43:20.300Z""},""wins"":9.5,""overOdds"":100,""underOdds"":-120},{""date"":{""$date"":""2023-05-11T18:59:52.530Z""},""wins"":9.5,""overOdds"":100,""underOdds"":-120}]"
"{""code"":""MIN"",""shortName"":""Vikings"",""fullName"":""Miami Vikings""}",Minnesota Vikings,2023,reg,nfl,8.5,-130,110,
NE,New England Patriots,2023,reg,nfl,7.5,-120,100,"[{""date"":{""$date"":""2023-04-21T10:17:28.786Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-21T10:18:44.759Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-25T14:32:07.639Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-27T14:19:09.563Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-28T11:50:31.722Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-05-04T09:29:35.567Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-05-09T11:43:20.834Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-05-11T18:59:53.152Z""},""wins"":7.5,""overOdds"":-120,""underOdds"":100}]"
NO,New Orleans Saints,2023,reg,nfl,9.5,105,-125,"[{""date"":{""$date"":""2023-04-21T10:17:27.802Z""},""wins"":9.5,""overOdds"":105,""underOdds"":-125},{""date"":{""$date"":""2023-04-21T10:18:43.819Z""},""wins"":9.5,""overOdds"":105,""underOdds"":-125},{""date"":{""$date"":""2023-04-25T14:32:07.888Z""},""wins"":9.5,""overOdds"":105,""underOdds"":-125},{""date"":{""$date"":""2023-04-27T14:19:09.811Z""},""wins"":9.5,""overOdds"":105,""underOdds"":-125},{""date"":{""$date"":""2023-04-28T11:50:31.954Z""},""wins"":9.5,""overOdds"":105,""underOdds"":-125},{""date"":{""$date"":""2023-05-04T09:29:35.865Z""},""wins"":9.5,""overOdds"":105,""underOdds"":-125},{""date"":{""$date"":""2023-05-09T11:43:21.057Z""},""wins"":9.5,""overOdds"":105,""underOdds"":-125},{""date"":{""$date"":""2023-05-11T18:59:53.476Z""},""wins"":9.5,""overOdds"":105,""underOdds"":-125}]"
NYG,New York Giants,2023,reg,nfl,8.5,120,-140,"[{""date"":{""$date"":""2023-04-21T10:17:25.913Z""},""wins"":8.5,""overOdds"":105,""underOdds"":-125},{""date"":{""$date"":""2023-04-21T10:18:42.148Z""},""wins"":8.5,""overOdds"":105,""underOdds"":-125},{""date"":{""$date"":""2023-04-25T14:32:08.289Z""},""wins"":8.5,""overOdds"":105,""underOdds"":-125},{""date"":{""$date"":""2023-04-27T14:19:10.064Z""},""wins"":8.5,""overOdds"":105,""underOdds"":-125},{""date"":{""$date"":""2023-04-28T11:50:32.191Z""},""wins"":8.5,""overOdds"":105,""underOdds"":-125},{""date"":{""$date"":""2023-05-04T09:29:36.267Z""},""wins"":8.5,""overOdds"":115,""underOdds"":-140},{""date"":{""$date"":""2023-05-09T11:43:21.281Z""},""wins"":8.5,""overOdds"":120,""underOdds"":-140},{""date"":{""$date"":""2023-05-11T18:59:53.811Z""},""wins"":8.5,""overOdds"":120,""underOdds"":-140}]"
NYJ,New York Jets,2023,reg,nfl,9.5,-145,125,"[{""date"":{""$date"":""2023-04-21T10:17:26.242Z""},""wins"":9.5,""overOdds"":-130,""underOdds"":110},{""date"":{""$date"":""2023-04-21T10:18:42.485Z""},""wins"":9.5,""overOdds"":-130,""underOdds"":110},{""date"":{""$date"":""2023-04-25T14:32:08.510Z""},""wins"":9.5,""overOdds"":-145,""underOdds"":125},{""date"":{""$date"":""2023-04-27T14:19:10.605Z""},""wins"":9.5,""overOdds"":-145,""underOdds"":125},{""date"":{""$date"":""2023-04-28T11:50:32.430Z""},""wins"":9.5,""overOdds"":-145,""underOdds"":125},{""date"":{""$date"":""2023-05-04T09:29:36.563Z""},""wins"":9.5,""overOdds"":-145,""underOdds"":125},{""date"":{""$date"":""2023-05-09T11:43:21.504Z""},""wins"":9.5,""overOdds"":-145,""underOdds"":125},{""date"":{""$date"":""2023-05-11T18:59:54.074Z""},""wins"":9.5,""overOdds"":-145,""underOdds"":125}]"
PHI,Philadelphia Eagles,2023,reg,nfl,10.5,-150,130,"[{""date"":{""$date"":""2023-04-21T10:17:33.157Z""},""wins"":10.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-04-21T10:18:47.934Z""},""wins"":10.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-04-25T14:32:08.734Z""},""wins"":10.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-04-27T14:19:10.888Z""},""wins"":10.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-04-28T11:50:32.666Z""},""wins"":10.5,""overOdds"":-150,""underOdds"":120},{""date"":{""$date"":""2023-05-04T09:29:36.914Z""},""wins"":10.5,""overOdds"":-150,""underOdds"":130},{""date"":{""$date"":""2023-05-09T11:43:21.745Z""},""wins"":10.5,""overOdds"":-150,""underOdds"":130},{""date"":{""$date"":""2023-05-11T18:59:54.425Z""},""wins"":10.5,""overOdds"":-150,""underOdds"":130}]"
PIT,Pittsburgh Steelers,2023,reg,nfl,8.5,-130,110,"[{""date"":{""$date"":""2023-04-21T10:17:26.669Z""},""wins"":8.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-21T10:18:42.817Z""},""wins"":8.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-25T14:32:08.950Z""},""wins"":8.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-27T14:19:11.131Z""},""wins"":8.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-04-28T11:50:32.936Z""},""wins"":8.5,""overOdds"":-120,""underOdds"":100},{""date"":{""$date"":""2023-05-04T09:29:37.241Z""},""wins"":8.5,""overOdds"":-130,""underOdds"":110},{""date"":{""$date"":""2023-05-09T11:43:22.004Z""},""wins"":8.5,""overOdds"":-130,""underOdds"":110},{""date"":{""$date"":""2023-05-11T18:59:54.921Z""},""wins"":8.5,""overOdds"":-130,""underOdds"":110}]"
