gameId,year,season,gameWeek,awayTeam.fullName,homeTeam.fullName,odds.spread,odds.total,odds.history,crowd.awayTeam.score,crowd.homeTeam.score,crowd.spread,crowd.total,crowd.results.winner.correct,crowd.results.winner.push,crowd.results.spread.correct,crowd.results.spread.push,crowd.results.total.correct,crowd.results.total.push,crowd.results.predictionScore,results.awayTeam.score,results.homeTeam.score,results.total,results.spread,startDateTime
4733431,2024,reg,12,Pittsburgh Steelers,Cleveland Browns,3.5,37,"[{""date"":{""$date"":""2024-11-19T21:00:43.543Z""},""spread"":3.5,""spreadOdds"":-109,""total"":36,""totalOdds"":-103,""awayML"":{""decimal"":1.5405,""american"":-185},""homeML"":{""decimal"":2.62,""american"":162}},{""date"":{""$date"":""2024-11-20T09:00:43.153Z""},""spread"":3.5,""spreadOdds"":-108,""total"":36,""totalOdds"":101,""awayML"":{""decimal"":1.5376,""american"":-186},""homeML"":{""decimal"":2.62,""american"":162}},{""date"":{""$date"":""2024-11-20T21:00:42.389Z""},""spread"":3.5,""spreadOdds"":-105,""total"":37,""totalOdds"":-110,""awayML"":{""decimal"":1.5263,""american"":-190},""homeML"":{""decimal"":2.66,""american"":166}},{""date"":{""$date"":""2024-11-21T09:00:42.303Z""},""spread"":3.5,""spreadOdds"":-108,""total"":37,""totalOdds"":-111,""awayML"":{""decimal"":1.5319,""american"":-188},""homeML"":{""decimal"":2.64,""american"":164}},{""date"":{""$date"":""2024-11-21T21:00:41.389Z""},""spread"":3.5,""spreadOdds"":-107,""total"":37,""totalOdds"":-117,""awayML"":{""decimal"":1.5376,""american"":-186},""homeML"":{""decimal"":2.66,""american"":166}}]",22.59,15.24,7.35,37.82,0,0,0,0,1,0,2,19,24,43,-5,2024-11-22T01:15:00.000Z
4733432,2024,reg,12,Tampa Bay Buccaneers,N.Y. Giants Giants,6,41,"[{""date"":{""$date"":""2024-11-19T21:00:43.706Z""},""spread"":5.5,""spreadOdds"":-102,""total"":41.5,""totalOdds"":-104,""awayML"":{""decimal"":1.4032,""american"":-248},""homeML"":{""decimal"":3.12,""american"":212}},{""date"":{""$date"":""2024-11-20T09:00:43.298Z""},""spread"":5.5,""spreadOdds"":-102,""total"":41.5,""totalOdds"":-104,""awayML"":{""decimal"":1.4032,""american"":-248},""homeML"":{""decimal"":3.12,""american"":212}},{""date"":{""$date"":""2024-11-20T21:00:42.561Z""},""spread"":5.5,""spreadOdds"":-102,""total"":41.5,""totalOdds"":-104,""awayML"":{""decimal"":1.4032,""american"":-248},""homeML"":{""decimal"":3.12,""american"":212}},{""date"":{""$date"":""2024-11-21T09:00:42.463Z""},""spread"":5.5,""spreadOdds"":-102,""total"":41.5,""totalOdds"":-104,""awayML"":{""decimal"":1.4032,""american"":-248},""homeML"":{""decimal"":3.12,""american"":212}},{""date"":{""$date"":""2024-11-21T21:00:41.531Z""},""spread"":5.5,""spreadOdds"":-101,""total"":41.5,""totalOdds"":-117,""awayML"":{""decimal"":1.3968,""american"":-252},""homeML"":{""decimal"":3.15,""american"":215}},{""date"":{""$date"":""2024-11-22T09:00:42.209Z""},""spread"":5.5,""spreadOdds"":-101,""total"":41.5,""totalOdds"":-117,""awayML"":{""decimal"":1.3968,""american"":-252},""homeML"":{""decimal"":3.15,""american"":215}},{""date"":{""$date"":""2024-11-22T21:00:42.097Z""},""spread"":6,""spreadOdds"":-101,""total"":41.5,""totalOdds"":-116,""awayML"":{""decimal"":1.3676,""american"":-272},""homeML"":{""decimal"":3.3,""american"":230}},{""date"":{""$date"":""2024-11-23T09:01:01.897Z""},""spread"":6,""spreadOdds"":-101,""total"":41,""totalOdds"":-111,""awayML"":{""decimal"":1.365,""american"":-274},""homeML"":{""decimal"":3.32,""american"":232}},{""date"":{""$date"":""2024-11-23T21:00:42.420Z""},""spread"":6,""spreadOdds"":-108,""total"":41,""totalOdds"":-112,""awayML"":{""decimal"":1.3846,""american"":-260},""homeML"":{""decimal"":3.21,""american"":221}},{""date"":{""$date"":""2024-11-24T09:00:47.097Z""},""spread"":6,""spreadOdds"":-103,""total"":41,""totalOdds"":-117,""awayML"":{""decimal"":1.3731,""american"":-268},""homeML"":{""decimal"":3.27,""american"":227}}]",24.41,15.88,8.53,40.29,1,0,1,0,1,0,6,30,7,37,23,2024-11-24T18:00:00.000Z
4733433,2024,reg,12,Detroit Lions,Indianapolis Colts,7.5,50,"[{""date"":{""$date"":""2024-11-18T09:00:48.172Z""},""spread"":8,""spreadOdds"":-117,""total"":50.5,""totalOdds"":-113,""awayML"":{""decimal"":1.2857,""american"":-350},""homeML"":{""decimal"":3.87,""american"":287}},{""date"":{""$date"":""2024-11-18T21:00:49.135Z""},""spread"":8,""spreadOdds"":-126,""total"":50.5,""totalOdds"":-112,""awayML"":{""decimal"":1.3021,""american"":-331},""homeML"":{""decimal"":3.74,""american"":274}},{""date"":{""$date"":""2024-11-19T09:00:42.515Z""},""spread"":7.5,""spreadOdds"":-115,""total"":50.5,""totalOdds"":-111,""awayML"":{""decimal"":1.2841,""american"":-352},""homeML"":{""decimal"":3.89,""american"":289}},{""date"":{""$date"":""2024-11-19T21:00:43.867Z""},""spread"":7.5,""spreadOdds"":-114,""total"":50.5,""totalOdds"":-111,""awayML"":{""decimal"":1.2817,""american"":-355},""homeML"":{""decimal"":3.91,""american"":291}},{""date"":{""$date"":""2024-11-20T09:00:43.457Z""},""spread"":7.5,""spreadOdds"":-113,""total"":50.5,""totalOdds"":-114,""awayML"":{""decimal"":1.2809,""american"":-356},""homeML"":{""decimal"":3.92,""american"":292}},{""date"":{""$date"":""2024-11-20T21:00:42.722Z""},""spread"":7.5,""spreadOdds"":-116,""total"":50.5,""totalOdds"":-119,""awayML"":{""decimal"":1.2849,""american"":-351},""homeML"":{""decimal"":3.88,""american"":288}},{""date"":{""$date"":""2024-11-21T09:00:42.681Z""},""spread"":7.5,""spreadOdds"":-120,""total"":49.5,""totalOdds"":-105,""awayML"":{""decimal"":1.2907,""american"":-344},""homeML"":{""decimal"":3.83,""american"":283}},{""date"":{""$date"":""2024-11-21T21:00:41.708Z""},""spread"":7.5,""spreadOdds"":-125,""total"":49.5,""totalOdds"":-102,""awayML"":{""decimal"":1.2959,""american"":-338},""homeML"":{""decimal"":3.78,""american"":278}},{""date"":{""$date"":""2024-11-22T09:00:42.341Z""},""spread"":7.5,""spreadOdds"":-119,""total"":49.5,""totalOdds"":-102,""awayML"":{""decimal"":1.2825,""american"":-354},""homeML"":{""decimal"":3.9,""american"":290}},{""date"":{""$date"":""2024-11-22T21:00:42.267Z""},""spread"":7.5,""spreadOdds"":-119,""total"":49.5,""totalOdds"":-102,""awayML"":{""decimal"":1.2825,""american"":-354},""homeML"":{""decimal"":3.9,""american"":290}},{""date"":{""$date"":""2024-11-23T09:01:02.031Z""},""spread"":7.5,""spreadOdds"":-118,""total"":49.5,""totalOdds"":105,""awayML"":{""decimal"":1.2786,""american"":-359},""homeML"":{""decimal"":3.93,""american"":293}},{""date"":{""$date"":""2024-11-23T21:00:42.598Z""},""spread"":7.5,""spreadOdds"":-119,""total"":50,""totalOdds"":-103,""awayML"":{""decimal"":1.2793,""american"":-358},""homeML"":{""decimal"":3.93,""american"":293}},{""date"":{""$date"":""2024-11-24T09:00:47.476Z""},""spread"":7.5,""spreadOdds"":-122,""total"":50,""totalOdds"":101,""awayML"":{""decimal"":1.2849,""american"":-351},""homeML"":{""decimal"":3.88,""american"":288}}]",30.63,20.44,10.19,51.06,1,0,1,0,0,0,4,24,6,30,18,2024-11-24T18:00:00.000Z
4733434,2024,reg,12,Tennessee Titans,Houston Texans,-7.5,41,"[{""date"":{""$date"":""2024-11-19T21:00:44.028Z""},""spread"":-9,""spreadOdds"":102,""total"":41,""totalOdds"":-104,""awayML"":{""decimal"":4.28,""american"":328},""homeML"":{""decimal"":1.2451,""american"":-408}},{""date"":{""$date"":""2024-11-20T09:00:43.676Z""},""spread"":-9,""spreadOdds"":107,""total"":41,""totalOdds"":101,""awayML"":{""decimal"":4.18,""american"":318},""homeML"":{""decimal"":1.2538,""american"":-394}},{""date"":{""$date"":""2024-11-20T21:00:42.882Z""},""spread"":-9,""spreadOdds"":107,""total"":41,""totalOdds"":-104,""awayML"":{""decimal"":4.2,""american"":320},""homeML"":{""decimal"":1.2519,""american"":-397}},{""date"":{""$date"":""2024-11-21T09:00:42.841Z""},""spread"":-9,""spreadOdds"":108,""total"":41,""totalOdds"":-114,""awayML"":{""decimal"":4.2,""american"":320},""homeML"":{""decimal"":1.2525,""american"":-396}},{""date"":{""$date"":""2024-11-21T21:00:41.850Z""},""spread"":-9,""spreadOdds"":109,""total"":41,""totalOdds"":-117,""awayML"":{""decimal"":4.19,""american"":319},""homeML"":{""decimal"":1.2532,""american"":-395}},{""date"":{""$date"":""2024-11-22T09:00:42.481Z""},""spread"":-9,""spreadOdds"":109,""total"":41,""totalOdds"":-119,""awayML"":{""decimal"":4.19,""american"":319},""homeML"":{""decimal"":1.2532,""american"":-395}},{""date"":{""$date"":""2024-11-22T21:00:42.408Z""},""spread"":-9,""spreadOdds"":109,""total"":41,""totalOdds"":-119,""awayML"":{""decimal"":4.19,""american"":319},""homeML"":{""decimal"":1.2532,""american"":-395}},{""date"":{""$date"":""2024-11-23T09:01:02.209Z""},""spread"":-9,""spreadOdds"":109,""total"":41,""totalOdds"":-119,""awayML"":{""decimal"":4.19,""american"":319},""homeML"":{""decimal"":1.2532,""american"":-395}},{""date"":{""$date"":""2024-11-23T21:00:42.745Z""},""spread"":-7.5,""spreadOdds"":-106,""total"":41,""totalOdds"":-119,""awayML"":{""decimal"":4.12,""american"":312},""homeML"":{""decimal"":1.2597,""american"":-385}},{""date"":{""$date"":""2024-11-24T09:00:48.177Z""},""spread"":-7.5,""spreadOdds"":-106,""total"":41,""totalOdds"":-119,""awayML"":{""decimal"":4.12,""american"":312},""homeML"":{""decimal"":1.2597,""american"":-385}}]",16.76,25.71,-8.94,42.47,0,0,0,0,1,0,2,32,27,59,5,2024-11-24T18:00:00.000Z
4733435,2024,reg,12,New England Patriots,Miami Dolphins,-7.5,46.5,"[{""date"":{""$date"":""2024-11-19T21:00:44.266Z""},""spread"":-7,""spreadOdds"":101,""total"":46.5,""totalOdds"":-116,""awayML"":{""decimal"":3.59,""american"":259},""homeML"":{""decimal"":1.3215,""american"":-311}},{""date"":{""$date"":""2024-11-20T09:00:43.975Z""},""spread"":-7,""spreadOdds"":-100,""total"":46.5,""totalOdds"":-116,""awayML"":{""decimal"":3.62,""american"":262},""homeML"":{""decimal"":1.3175,""american"":-315}},{""date"":{""$date"":""2024-11-20T21:00:43.022Z""},""spread"":-7,""spreadOdds"":-113,""total"":46.5,""totalOdds"":-116,""awayML"":{""decimal"":3.83,""american"":283},""homeML"":{""decimal"":1.2907,""american"":-344}},{""date"":{""$date"":""2024-11-21T09:00:43.001Z""},""spread"":-7,""spreadOdds"":-119,""total"":46.5,""totalOdds"":-114,""awayML"":{""decimal"":3.92,""american"":292},""homeML"":{""decimal"":1.2801,""american"":-357}},{""date"":{""$date"":""2024-11-21T21:00:41.991Z""},""spread"":-7.5,""spreadOdds"":102,""total"":46.5,""totalOdds"":-114,""awayML"":{""decimal"":3.84,""american"":284},""homeML"":{""decimal"":1.289,""american"":-346}},{""date"":{""$date"":""2024-11-22T09:00:42.602Z""},""spread"":-7.5,""spreadOdds"":102,""total"":46.5,""totalOdds"":-114,""awayML"":{""decimal"":3.84,""american"":284},""homeML"":{""decimal"":1.289,""american"":-346}},{""date"":{""$date"":""2024-11-22T21:00:42.529Z""},""spread"":-7.5,""spreadOdds"":-107,""total"":46.5,""totalOdds"":-102,""awayML"":{""decimal"":4.03,""american"":303},""homeML"":{""decimal"":1.2688,""american"":-372}},{""date"":{""$date"":""2024-11-23T09:01:02.371Z""},""spread"":-7.5,""spreadOdds"":-108,""total"":46.5,""totalOdds"":-103,""awayML"":{""decimal"":4.04,""american"":304},""homeML"":{""decimal"":1.2674,""american"":-374}},{""date"":{""$date"":""2024-11-23T21:00:42.958Z""},""spread"":-7.5,""spreadOdds"":100,""total"":46.5,""totalOdds"":-104,""awayML"":{""decimal"":3.9,""american"":290},""homeML"":{""decimal"":1.2825,""american"":-354}},{""date"":{""$date"":""2024-11-24T09:00:48.439Z""},""spread"":-7.5,""spreadOdds"":102,""total"":46.5,""totalOdds"":-105,""awayML"":{""decimal"":3.87,""american"":287},""homeML"":{""decimal"":1.2857,""american"":-350}}]",19.29,26.29,-7,45.59,1,0,0,0,0,0,2,15,34,49,-19,2024-11-24T18:00:00.000Z
4733436,2024,reg,12,Minnesota Vikings,Chicago Bears,3.5,39,"[{""date"":{""$date"":""2024-11-19T21:00:44.445Z""},""spread"":3.5,""spreadOdds"":-121,""total"":40,""totalOdds"":-119,""awayML"":{""decimal"":1.5882,""american"":-170},""homeML"":{""decimal"":2.5,""american"":150}},{""date"":{""$date"":""2024-11-20T09:00:44.098Z""},""spread"":3.5,""spreadOdds"":-115,""total"":40,""totalOdds"":-120,""awayML"":{""decimal"":1.5618,""american"":-178},""homeML"":{""decimal"":2.56,""american"":156}},{""date"":{""$date"":""2024-11-20T21:00:43.182Z""},""spread"":3.5,""spreadOdds"":-111,""total"":39,""totalOdds"":-104,""awayML"":{""decimal"":1.5435,""american"":-184},""homeML"":{""decimal"":2.61,""american"":161}},{""date"":{""$date"":""2024-11-21T09:00:43.161Z""},""spread"":3.5,""spreadOdds"":-111,""total"":39,""totalOdds"":-104,""awayML"":{""decimal"":1.5435,""american"":-184},""homeML"":{""decimal"":2.61,""american"":161}},{""date"":{""$date"":""2024-11-21T21:00:42.111Z""},""spread"":3.5,""spreadOdds"":-110,""total"":39,""totalOdds"":-112,""awayML"":{""decimal"":1.5348,""american"":-187},""homeML"":{""decimal"":2.63,""american"":163}},{""date"":{""$date"":""2024-11-22T09:00:42.839Z""},""spread"":3.5,""spreadOdds"":-110,""total"":39,""totalOdds"":-110,""awayML"":{""decimal"":1.5376,""american"":-186},""homeML"":{""decimal"":2.63,""american"":163}},{""date"":{""$date"":""2024-11-22T21:00:42.766Z""},""spread"":3.5,""spreadOdds"":-115,""total"":39,""totalOdds"":-110,""awayML"":{""decimal"":1.5587,""american"":-179},""homeML"":{""decimal"":2.57,""american"":157}},{""date"":{""$date"":""2024-11-23T09:01:02.492Z""},""spread"":3.5,""spreadOdds"":-114,""total"":39,""totalOdds"":-109,""awayML"":{""decimal"":1.5525,""american"":-181},""homeML"":{""decimal"":2.58,""american"":158}},{""date"":{""$date"":""2024-11-23T21:00:43.120Z""},""spread"":3.5,""spreadOdds"":-114,""total"":39,""totalOdds"":-109,""awayML"":{""decimal"":1.5525,""american"":-181},""homeML"":{""decimal"":2.58,""american"":158}},{""date"":{""$date"":""2024-11-24T09:00:49.297Z""},""spread"":3.5,""spreadOdds"":-118,""total"":39,""totalOdds"":-101,""awayML"":{""decimal"":1.5714,""american"":-175},""homeML"":{""decimal"":2.54,""american"":154}}]",22.94,18.88,4.06,41.82,1,0,0,0,1,0,4,30,27,57,3,2024-11-24T18:00:00.000Z
4733437,2024,reg,12,Kansas City Chiefs,Carolina Panthers,11,43,"[{""date"":{""$date"":""2024-11-19T21:00:44.625Z""},""spread"":11,""spreadOdds"":-115,""total"":43,""totalOdds"":-114,""awayML"":{""decimal"":1.1815,""american"":-551},""homeML"":{""decimal"":5.21,""american"":421}},{""date"":{""$date"":""2024-11-20T09:00:44.297Z""},""spread"":11,""spreadOdds"":-114,""total"":43,""totalOdds"":-112,""awayML"":{""decimal"":1.1805,""american"":-554},""homeML"":{""decimal"":5.23,""american"":423}},{""date"":{""$date"":""2024-11-20T21:00:43.323Z""},""spread"":11,""spreadOdds"":-114,""total"":43,""totalOdds"":-112,""awayML"":{""decimal"":1.1805,""american"":-554},""homeML"":{""decimal"":5.23,""american"":423}},{""date"":{""$date"":""2024-11-21T09:00:43.301Z""},""spread"":11,""spreadOdds"":-114,""total"":43,""totalOdds"":-110,""awayML"":{""decimal"":1.1799,""american"":-556},""homeML"":{""decimal"":5.25,""american"":425}},{""date"":{""$date"":""2024-11-21T21:00:42.328Z""},""spread"":11,""spreadOdds"":-118,""total"":43,""totalOdds"":-110,""awayML"":{""decimal"":1.1812,""american"":-552},""homeML"":{""decimal"":5.22,""american"":422}},{""date"":{""$date"":""2024-11-22T09:00:42.999Z""},""spread"":11,""spreadOdds"":-117,""total"":43,""totalOdds"":-110,""awayML"":{""decimal"":1.1757,""american"":-569},""homeML"":{""decimal"":5.33,""american"":433}},{""date"":{""$date"":""2024-11-22T21:00:42.907Z""},""spread"":11,""spreadOdds"":-115,""total"":43,""totalOdds"":-110,""awayML"":{""decimal"":1.1736,""american"":-576},""homeML"":{""decimal"":5.37,""american"":437}},{""date"":{""$date"":""2024-11-23T09:01:02.670Z""},""spread"":11,""spreadOdds"":-115,""total"":43,""totalOdds"":-110,""awayML"":{""decimal"":1.1715,""american"":-583},""homeML"":{""decimal"":5.41,""american"":441}},{""date"":{""$date"":""2024-11-23T21:00:43.318Z""},""spread"":11,""spreadOdds"":-117,""total"":43,""totalOdds"":-110,""awayML"":{""decimal"":1.1727,""american"":-579},""homeML"":{""decimal"":5.39,""american"":439}},{""date"":{""$date"":""2024-11-24T09:00:49.819Z""},""spread"":11,""spreadOdds"":-120,""total"":43,""totalOdds"":-109,""awayML"":{""decimal"":1.1727,""american"":-579},""homeML"":{""decimal"":5.39,""american"":439}}]",29.06,14.53,14.53,43.59,1,0,0,0,1,0,4,30,27,57,3,2024-11-24T18:00:00.000Z
4733456,2024,reg,12,Dallas Cowboys,Washington Commanders,-11,45.5,"[{""date"":{""$date"":""2024-11-19T21:00:47.109Z""},""spread"":-10.5,""spreadOdds"":-103,""total"":45,""totalOdds"":-103,""awayML"":{""decimal"":5.04,""american"":404},""homeML"":{""decimal"":1.1908,""american"":-524}},{""date"":{""$date"":""2024-11-20T09:00:47.077Z""},""spread"":-10.5,""spreadOdds"":102,""total"":45,""totalOdds"":-115,""awayML"":{""decimal"":4.97,""american"":397},""homeML"":{""decimal"":1.1949,""american"":-513}},{""date"":{""$date"":""2024-11-20T21:00:45.744Z""},""spread"":-10.5,""spreadOdds"":101,""total"":45,""totalOdds"":-108,""awayML"":{""decimal"":4.98,""american"":398},""homeML"":{""decimal"":1.1946,""american"":-514}},{""date"":{""$date"":""2024-11-21T09:00:45.622Z""},""spread"":-10.5,""spreadOdds"":102,""total"":45,""totalOdds"":-105,""awayML"":{""decimal"":4.96,""american"":396},""homeML"":{""decimal"":1.1957,""american"":-511}},{""date"":{""$date"":""2024-11-21T21:00:44.548Z""},""spread"":-10.5,""spreadOdds"":103,""total"":45,""totalOdds"":-110,""awayML"":{""decimal"":4.96,""american"":396},""homeML"":{""decimal"":1.1957,""american"":-511}},{""date"":{""$date"":""2024-11-22T09:00:45.321Z""},""spread"":-10.5,""spreadOdds"":103,""total"":45,""totalOdds"":-110,""awayML"":{""decimal"":5,""american"":400},""homeML"":{""decimal"":1.1934,""american"":-517}},{""date"":{""$date"":""2024-11-22T21:00:45.287Z""},""spread"":-10.5,""spreadOdds"":-101,""total"":45,""totalOdds"":-109,""awayML"":{""decimal"":5.08,""american"":408},""homeML"":{""decimal"":1.1887,""american"":-530}},{""date"":{""$date"":""2024-11-23T09:01:04.970Z""},""spread"":-10.5,""spreadOdds"":100,""total"":45,""totalOdds"":-110,""awayML"":{""decimal"":5.06,""american"":406},""homeML"":{""decimal"":1.1901,""american"":-526}},{""date"":{""$date"":""2024-11-23T21:00:45.600Z""},""spread"":-10.5,""spreadOdds"":-106,""total"":45,""totalOdds"":-110,""awayML"":{""decimal"":5.23,""american"":423},""homeML"":{""decimal"":1.1808,""american"":-553}},{""date"":{""$date"":""2024-11-24T09:00:54.699Z""},""spread"":-11,""spreadOdds"":-100,""total"":45.5,""totalOdds"":-117,""awayML"":{""decimal"":5.19,""american"":419},""homeML"":{""decimal"":1.1832,""american"":-546}}]",15.44,29.44,-14,44.88,0,0,0,0,0,0,0,34,26,60,8,2024-11-24T18:00:00.000Z
4733457,2024,reg,12,Denver Broncos,Las Vegas Raiders,5,41.5,"[{""date"":{""$date"":""2024-11-19T21:00:47.326Z""},""spread"":5,""spreadOdds"":-100,""total"":40.5,""totalOdds"":-102,""awayML"":{""decimal"":1.4167,""american"":-240},""homeML"":{""decimal"":3.06,""american"":206}},{""date"":{""$date"":""2024-11-20T09:00:47.254Z""},""spread"":5,""spreadOdds"":101,""total"":40.5,""totalOdds"":-102,""awayML"":{""decimal"":1.4115,""american"":-243},""homeML"":{""decimal"":3.07,""american"":207}},{""date"":{""$date"":""2024-11-20T21:00:45.960Z""},""spread"":5,""spreadOdds"":101,""total"":40.5,""totalOdds"":-102,""awayML"":{""decimal"":1.4115,""american"":-243},""homeML"":{""decimal"":3.07,""american"":207}},{""date"":{""$date"":""2024-11-21T09:00:45.761Z""},""spread"":5,""spreadOdds"":107,""total"":40.5,""totalOdds"":-101,""awayML"":{""decimal"":1.3922,""american"":-255},""homeML"":{""decimal"":3.17,""american"":217}},{""date"":{""$date"":""2024-11-21T21:00:44.714Z""},""spread"":6,""spreadOdds"":-103,""total"":40.5,""totalOdds"":101,""awayML"":{""decimal"":1.3759,""american"":-266},""homeML"":{""decimal"":3.26,""american"":226}},{""date"":{""$date"":""2024-11-22T09:00:45.499Z""},""spread"":6,""spreadOdds"":-101,""total"":40.5,""totalOdds"":-104,""awayML"":{""decimal"":1.3704,""american"":-270},""homeML"":{""decimal"":3.29,""american"":229}},{""date"":{""$date"":""2024-11-22T21:00:45.428Z""},""spread"":6,""spreadOdds"":-108,""total"":40.5,""totalOdds"":-102,""awayML"":{""decimal"":1.3922,""american"":-255},""homeML"":{""decimal"":3.17,""american"":217}},{""date"":{""$date"":""2024-11-23T09:01:05.112Z""},""spread"":6,""spreadOdds"":-110,""total"":40.5,""totalOdds"":103,""awayML"":{""decimal"":1.3968,""american"":-252},""homeML"":{""decimal"":3.15,""american"":215}},{""date"":{""$date"":""2024-11-23T21:00:45.760Z""},""spread"":6,""spreadOdds"":-106,""total"":40.5,""totalOdds"":103,""awayML"":{""decimal"":1.3846,""american"":-260},""homeML"":{""decimal"":3.21,""american"":221}},{""date"":{""$date"":""2024-11-24T09:00:54.916Z""},""spread"":5,""spreadOdds"":-104,""total"":41.5,""totalOdds"":-106,""awayML"":{""decimal"":1.4237,""american"":-236},""homeML"":{""decimal"":3.02,""american"":202}},{""date"":{""$date"":""2024-11-24T21:00:44.027Z""},""spread"":5,""spreadOdds"":105,""total"":41.5,""totalOdds"":-103,""awayML"":{""decimal"":1.4115,""american"":-243},""homeML"":{""decimal"":3.13,""american"":213}}]",24.47,16.76,7.71,41.24,1,0,1,0,0,0,4,29,19,48,10,2024-11-24T21:05:00.000Z
4733458,2024,reg,12,Arizona Cardinals,Seattle Seahawks,1,47,"[{""date"":{""$date"":""2024-11-18T09:00:53.172Z""},""spread"":-1,""spreadOdds"":102,""total"":48,""totalOdds"":-101,""awayML"":{""decimal"":1.9346,""american"":-107},""homeML"":{""decimal"":1.9524,""american"":-105}},{""date"":{""$date"":""2024-11-18T21:00:54.015Z""},""spread"":-1,""spreadOdds"":-101,""total"":48,""totalOdds"":-107,""awayML"":{""decimal"":1.9615,""american"":-104},""homeML"":{""decimal"":1.9259,""american"":-108}},{""date"":{""$date"":""2024-11-19T09:00:45.616Z""},""spread"":-1,""spreadOdds"":-102,""total"":48,""totalOdds"":-118,""awayML"":{""decimal"":1.9709,""american"":-103},""homeML"":{""decimal"":1.9174,""american"":-109}},{""date"":{""$date"":""2024-11-19T21:00:47.506Z""},""spread"":-1,""spreadOdds"":-102,""total"":48,""totalOdds"":-118,""awayML"":{""decimal"":1.9615,""american"":-104},""homeML"":{""decimal"":1.9259,""american"":-108}},{""date"":{""$date"":""2024-11-20T09:00:47.416Z""},""spread"":-1,""spreadOdds"":-100,""total"":48,""totalOdds"":-118,""awayML"":{""decimal"":1.9524,""american"":-105},""homeML"":{""decimal"":1.9346,""american"":-107}},{""date"":{""$date"":""2024-11-20T21:00:46.121Z""},""spread"":-1,""spreadOdds"":103,""total"":48,""totalOdds"":-118,""awayML"":{""decimal"":1.9174,""american"":-109},""homeML"":{""decimal"":1.9709,""american"":-103}},{""date"":{""$date"":""2024-11-21T09:00:45.901Z""},""spread"":-1,""spreadOdds"":100,""total"":48,""totalOdds"":-111,""awayML"":{""decimal"":1.9434,""american"":-106},""homeML"":{""decimal"":1.9434,""american"":-106}},{""date"":{""$date"":""2024-11-21T21:00:44.831Z""},""spread"":-1,""spreadOdds"":-101,""total"":48,""totalOdds"":-112,""awayML"":{""decimal"":1.9615,""american"":-104},""homeML"":{""decimal"":1.9259,""american"":-108}},{""date"":{""$date"":""2024-11-22T09:00:45.660Z""},""spread"":-1,""spreadOdds"":-101,""total"":48,""totalOdds"":-112,""awayML"":{""decimal"":1.9615,""american"":-104},""homeML"":{""decimal"":1.9259,""american"":-108}},{""date"":{""$date"":""2024-11-22T21:00:45.549Z""},""spread"":-1,""spreadOdds"":-101,""total"":48,""totalOdds"":-112,""awayML"":{""decimal"":1.9615,""american"":-104},""homeML"":{""decimal"":1.9259,""american"":-108}},{""date"":{""$date"":""2024-11-23T09:01:05.233Z""},""spread"":-1,""spreadOdds"":100,""total"":48,""totalOdds"":-117,""awayML"":{""decimal"":1.9524,""american"":-105},""homeML"":{""decimal"":1.9346,""american"":-107}},{""date"":{""$date"":""2024-11-23T21:00:45.881Z""},""spread"":-1,""spreadOdds"":-101,""total"":48,""totalOdds"":-117,""awayML"":{""decimal"":1.9524,""american"":-105},""homeML"":{""decimal"":1.9346,""american"":-107}},{""date"":{""$date"":""2024-11-24T09:00:55.077Z""},""spread"":-1,""spreadOdds"":-101,""total"":48,""totalOdds"":-119,""awayML"":{""decimal"":1.9524,""american"":-105},""homeML"":{""decimal"":1.9346,""american"":-107}},{""date"":{""$date"":""2024-11-24T21:00:44.199Z""},""spread"":1,""spreadOdds"":-102,""total"":47,""totalOdds"":-119,""awayML"":{""decimal"":1.8772,""american"":-114},""homeML"":{""decimal"":2.03,""american"":103}}]",24.41,23.29,1.12,47.71,0,0,0,0,0,0,0,6,16,22,-10,2024-11-24T21:25:00.000Z
