statusCode,body__Items__gameStatus,body__Items__awayhome,body__Items__location,body__Items__season,body__Items__gameUID,body__Items__odds__total,body__Items__odds__history__date,body__Items__odds__history__total,body__Items__odds__history__prices__spreadHomePrice,body__Items__odds__history__prices__totalOverPrice,body__Items__odds__history__prices__spreadAwayPrice,body__Items__odds__history__prices__totalUnderPrice,body__Items__odds__history__spread,body__Items__odds__prices__spreadHomePrice,body__Items__odds__prices__totalOverPrice,body__Items__odds__prices__spreadAwayPrice,body__Items__odds__prices__totalUnderPrice,body__Items__odds__spread,body__Items__sport,body__Items__startDateTime,body__Items__homeTeam__shortName,body__Items__homeTeam__fullName,body__Items__homeTeam__code,body__Items__gameWeek,body__Items__year,body__Items__results__homeTeam__score,body__Items__results__total,body__Items__results__awayTeam__score,body__Items__results__spread,body__Items__stadium,body__Items__gameId,body__Items__awayTeam__shortName,body__Items__awayTeam__fullName,body__Items__awayTeam__code,body__Count,body__ScannedCount
,,,,,,,Mon Sep 28 2020 18:33:39 GMT+0000 (Coordinated Universal Time),47,-101,100,-109,-112,-13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mon Sep 28 2020 22:33:26 GMT+0000 (Coordinated Universal Time),47,104,101,-115,-112,-13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tue Sep 29 2020 09:00:30 GMT+0000 (Coordinated Universal Time),47,101,101,-111,-112,-13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Wed Sep 30 2020 09:00:26 GMT+0000 (Coordinated Universal Time),47,100,-114,-110,102,-13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 09:00:26 GMT+0000 (Coordinated Universal Time),48,101,100,-112,-111,-13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 22:08:24 GMT+0000 (Coordinated Universal Time),48,101,103,-111,-115,-13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fri Oct 02 2020 09:00:26 GMT+0000 (Coordinated Universal Time),48,-108,103,-102,-115,-13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sat Oct 03 2020 09:00:25 GMT+0000 (Coordinated Universal Time),48,-104,103,-106,-115,-13.5,,,,,,,,,,,,,,,,,,,,,,,
,Unplayed,NODET,"Detroit, Michigan",Regular,2604137,54,Mon Sep 28 2020 18:29:52 GMT+0000 (Coordinated Universal Time),55,-108,106,-102,-118,4.5,-123,-106,111,-105,3.5,nfl,Sun Oct 04 2020 21:00:00 GMT+0000 (Coordinated Universal Time),Lions,Detroit Lions,DET,4,2020,,,,,Ford Field,2020regNODET,Saints,New Orleans Saints,NO,,
,,,,,,,Mon Sep 28 2020 18:33:39 GMT+0000 (Coordinated Universal Time),55,-108,106,-102,-118,4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mon Sep 28 2020 22:33:25 GMT+0000 (Coordinated Universal Time),54,-108,-110,-102,-102,4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tue Sep 29 2020 09:00:30 GMT+0000 (Coordinated Universal Time),54,-113,-109,103,-102,4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Wed Sep 30 2020 09:00:26 GMT+0000 (Coordinated Universal Time),54,-112,-109,102,-102,4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 09:00:26 GMT+0000 (Coordinated Universal Time),54,-108,-108,-102,-103,4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 22:08:24 GMT+0000 (Coordinated Universal Time),54,-109,-109,-101,-102,4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fri Oct 02 2020 09:00:26 GMT+0000 (Coordinated Universal Time),54,-107,-109,-103,-102,4.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sat Oct 03 2020 09:00:24 GMT+0000 (Coordinated Universal Time),54,-123,-106,111,-105,3.5,,,,,,,,,,,,,,,,,,,,,,,
