gameId,year,season,gameWeek,awayTeam.code,awayTeam.fullName,homeTeam.code,homeTeam.fullName,odds.spread,odds.total,odds.history,crowd.awayTeam.score,crowd.homeTeam.score,crowd.spread,crowd.total,crowd.results.winner.correct,crowd.results.winner.push,crowd.results.spread.correct,crowd.results.spread.push,crowd.results.total.correct,crowd.results.total.push,crowd.results.predictionScore,results.awayTeam.score,results.homeTeam.score,results.total,results.spread,startDateTime
4733341,2024,reg,13,CHI,Chicago Bears,DET,Detroit Lions,-10,47.5,"[{""date"":{""$date"":""2024-11-27T09:00:33.382Z""},""spread"":-10.5,""spreadOdds"":106,""total"":48.5,""totalOdds"":-104,""awayML"":{""decimal"":5.21,""american"":421},""homeML"":{""decimal"":1.1818,""american"":-550}},{""date"":{""$date"":""2024-11-27T21:00:34.555Z""},""spread"":-10,""spreadOdds"":107,""total"":47.5,""totalOdds"":-104,""awayML"":{""decimal"":4.99,""american"":399},""homeML"":{""decimal"":1.1942,""american"":-515}},{""date"":{""$date"":""2024-11-28T09:00:32.725Z""},""spread"":-10,""spreadOdds"":-103,""total"":47.5,""totalOdds"":-101,""awayML"":{""decimal"":4.89,""american"":389},""homeML"":{""decimal"":1.2,""american"":-500}}]",18.5,31.44,-12.94,49.94,1,0,0,0,0,0,2,20,23,43,-3,2024-11-28T17:30:00.000Z
4733342,2024,reg,13,NYG,N.Y. Giants Giants,DAL,Dallas Cowboys,-4,38,"[{""date"":{""$date"":""2024-11-27T09:00:33.620Z""},""spread"":-3.5,""spreadOdds"":-109,""total"":37.5,""totalOdds"":-109,""awayML"":{""decimal"":2.7,""american"":170},""homeML"":{""decimal"":1.5102,""american"":-196}},{""date"":{""$date"":""2024-11-27T21:00:34.774Z""},""spread"":-3.5,""spreadOdds"":102,""total"":37.5,""totalOdds"":-111,""awayML"":{""decimal"":2.59,""american"":159},""homeML"":{""decimal"":1.5495,""american"":-182}},{""date"":{""$date"":""2024-11-28T09:00:32.923Z""},""spread"":-3.5,""spreadOdds"":-102,""total"":37.5,""totalOdds"":-106,""awayML"":{""decimal"":2.66,""american"":166},""homeML"":{""decimal"":1.5263,""american"":-190}},{""date"":{""$date"":""2024-11-28T21:00:33.482Z""},""spread"":-4,""spreadOdds"":-107,""total"":38,""totalOdds"":102,""awayML"":{""decimal"":2.85,""american"":185},""homeML"":{""decimal"":1.4785,""american"":-209}}]",15.83,21.28,-5.44,37.11,1,0,1,0,0,0,4,20,27,47,-7,2024-11-28T21:30:00.000Z
4733345,2024,reg,13,SEA,Seattle Seahawks,NYJ,N.Y. Jets Jets,1,41.5,"[{""date"":{""$date"":""2024-11-25T09:00:34.447Z""},""spread"":1,""spreadOdds"":107,""total"":41.5,""totalOdds"":-106,""awayML"":{""decimal"":1.7874,""american"":-127},""homeML"":{""decimal"":2.13,""american"":113}},{""date"":{""$date"":""2024-11-25T21:00:35.900Z""},""spread"":1,""spreadOdds"":107,""total"":41.5,""totalOdds"":-106,""awayML"":{""decimal"":1.7937,""american"":-126},""homeML"":{""decimal"":2.12,""american"":112}},{""date"":{""$date"":""2024-11-26T09:00:33.708Z""},""spread"":1,""spreadOdds"":108,""total"":41.5,""totalOdds"":-106,""awayML"":{""decimal"":1.7813,""american"":-128},""homeML"":{""decimal"":2.14,""american"":114}},{""date"":{""$date"":""2024-11-26T21:00:34.396Z""},""spread"":1,""spreadOdds"":105,""total"":41.5,""totalOdds"":-106,""awayML"":{""decimal"":1.8065,""american"":-124},""homeML"":{""decimal"":2.1,""american"":110}},{""date"":{""$date"":""2024-11-27T09:00:34.199Z""},""spread"":1,""spreadOdds"":106,""total"":41.5,""totalOdds"":-112,""awayML"":{""decimal"":1.7937,""american"":-126},""homeML"":{""decimal"":2.12,""american"":112}},{""date"":{""$date"":""2024-11-27T21:00:35.275Z""},""spread"":1,""spreadOdds"":109,""total"":42.5,""totalOdds"":-112,""awayML"":{""decimal"":1.7692,""american"":-130},""homeML"":{""decimal"":2.15,""american"":115}},{""date"":{""$date"":""2024-11-28T09:00:33.445Z""},""spread"":1,""spreadOdds"":109,""total"":42.5,""totalOdds"":-110,""awayML"":{""decimal"":1.7752,""american"":-129},""homeML"":{""decimal"":2.14,""american"":114}},{""date"":{""$date"":""2024-11-28T21:00:33.995Z""},""spread"":1,""spreadOdds"":107,""total"":42.5,""totalOdds"":-110,""awayML"":{""decimal"":1.7937,""american"":-126},""homeML"":{""decimal"":2.12,""american"":112}},{""date"":{""$date"":""2024-11-29T09:00:33.144Z""},""spread"":1,""spreadOdds"":-110,""total"":42.5,""totalOdds"":-110,""awayML"":{""decimal"":1.9259,""american"":-108},""homeML"":{""decimal"":1.9615,""american"":-104}},{""date"":{""$date"":""2024-11-29T21:00:33.359Z""},""spread"":1,""spreadOdds"":-113,""total"":42.5,""totalOdds"":-120,""awayML"":{""decimal"":1.9434,""american"":-106},""homeML"":{""decimal"":1.9434,""american"":-106}},{""date"":{""$date"":""2024-11-30T09:00:33.941Z""},""spread"":1,""spreadOdds"":-113,""total"":42.5,""totalOdds"":-120,""awayML"":{""decimal"":1.9434,""american"":-106},""homeML"":{""decimal"":1.9434,""american"":-106}},{""date"":{""$date"":""2024-11-30T21:00:33.052Z""},""spread"":1,""spreadOdds"":-112,""total"":42.5,""totalOdds"":-120,""awayML"":{""decimal"":1.9434,""american"":-106},""homeML"":{""decimal"":1.9434,""american"":-106}},{""date"":{""$date"":""2024-12-01T09:00:32.229Z""},""spread"":1,""spreadOdds"":-115,""total"":41.5,""totalOdds"":-108,""awayML"":{""decimal"":1.9615,""american"":-104},""homeML"":{""decimal"":1.9259,""american"":-108}}]",22.2,19.13,3.07,41.33,1,0,1,0,0,0,4,26,21,47,5,2024-12-01T18:00:00.000Z
4733344,2024,reg,13,LV,Las Vegas Raiders,KC,Kansas City Chiefs,-13,42.5,"[{""date"":{""$date"":""2024-11-27T09:00:33.999Z""},""spread"":-13,""spreadOdds"":106,""total"":42.5,""totalOdds"":-105,""awayML"":{""decimal"":5.98,""american"":498},""homeML"":{""decimal"":1.1477,""american"":-677}},{""date"":{""$date"":""2024-11-27T21:00:35.112Z""},""spread"":-13,""spreadOdds"":-106,""total"":42.5,""totalOdds"":-104,""awayML"":{""decimal"":6.28,""american"":528},""homeML"":{""decimal"":1.1374,""american"":-728}},{""date"":{""$date"":""2024-11-28T09:00:33.226Z""},""spread"":-13,""spreadOdds"":-111,""total"":42.5,""totalOdds"":-105,""awayML"":{""decimal"":6.44,""american"":544},""homeML"":{""decimal"":1.1325,""american"":-755}},{""date"":{""$date"":""2024-11-28T21:00:33.817Z""},""spread"":-13,""spreadOdds"":-109,""total"":42.5,""totalOdds"":-102,""awayML"":{""decimal"":6.41,""american"":541},""homeML"":{""decimal"":1.1333,""american"":-750}},{""date"":{""$date"":""2024-11-29T09:00:32.976Z""},""spread"":-13,""spreadOdds"":-109,""total"":42.5,""totalOdds"":-111,""awayML"":{""decimal"":6.46,""american"":546},""homeML"":{""decimal"":1.1318,""american"":-759}}]",15.36,28.93,-13.57,44.29,1,0,0,0,0,0,2,17,19,36,-2,2024-11-29T20:00:00.000Z
4733343,2024,reg,13,MIA,Miami Dolphins,GB,Green Bay Packers,-3.5,47.5,"[{""date"":{""$date"":""2024-11-27T09:00:33.801Z""},""spread"":-3,""spreadOdds"":-115,""total"":47.5,""totalOdds"":-116,""awayML"":{""decimal"":2.48,""american"":148},""homeML"":{""decimal"":1.5917,""american"":-169}},{""date"":{""$date"":""2024-11-27T21:00:34.934Z""},""spread"":-3,""spreadOdds"":-114,""total"":47.5,""totalOdds"":-107,""awayML"":{""decimal"":2.48,""american"":148},""homeML"":{""decimal"":1.5952,""american"":-168}},{""date"":{""$date"":""2024-11-28T09:00:33.085Z""},""spread"":-3,""spreadOdds"":-119,""total"":47.5,""totalOdds"":-108,""awayML"":{""decimal"":2.53,""american"":153},""homeML"":{""decimal"":1.5714,""american"":-175}},{""date"":{""$date"":""2024-11-28T21:00:33.656Z""},""spread"":-3.5,""spreadOdds"":102,""total"":47.5,""totalOdds"":-110,""awayML"":{""decimal"":2.62,""american"":162},""homeML"":{""decimal"":1.5525,""american"":-181}}]",22.39,26.61,-4.22,49,1,0,1,0,0,0,4,17,30,47,-13,2024-11-29T01:20:00.000Z
4733346,2024,reg,13,PIT,Pittsburgh Steelers,CIN,Cincinnati Bengals,-3,47,"[{""date"":{""$date"":""2024-11-25T09:00:34.649Z""},""spread"":-2.5,""spreadOdds"":-129,""total"":47,""totalOdds"":-104,""awayML"":{""decimal"":2.44,""american"":144},""homeML"":{""decimal"":1.6098,""american"":-164}},{""date"":{""$date"":""2024-11-25T21:00:36.139Z""},""spread"":-2.5,""spreadOdds"":-118,""total"":47,""totalOdds"":-104,""awayML"":{""decimal"":2.33,""american"":133},""homeML"":{""decimal"":1.6623,""american"":-151}},{""date"":{""$date"":""2024-11-26T09:00:33.849Z""},""spread"":-2.5,""spreadOdds"":-118,""total"":47,""totalOdds"":-104,""awayML"":{""decimal"":2.33,""american"":133},""homeML"":{""decimal"":1.6623,""american"":-151}},{""date"":{""$date"":""2024-11-26T21:00:34.576Z""},""spread"":-2.5,""spreadOdds"":-121,""total"":47,""totalOdds"":-104,""awayML"":{""decimal"":2.36,""american"":136},""homeML"":{""decimal"":1.6494,""american"":-154}},{""date"":{""$date"":""2024-11-27T09:00:34.361Z""},""spread"":-2.5,""spreadOdds"":-119,""total"":47,""totalOdds"":-110,""awayML"":{""decimal"":2.34,""american"":134},""homeML"":{""decimal"":1.6579,""american"":-152}},{""date"":{""$date"":""2024-11-27T21:00:35.434Z""},""spread"":-2.5,""spreadOdds"":-119,""total"":47.5,""totalOdds"":-109,""awayML"":{""decimal"":2.34,""american"":134},""homeML"":{""decimal"":1.6579,""american"":-152}},{""date"":{""$date"":""2024-11-28T09:00:33.643Z""},""spread"":-2.5,""spreadOdds"":-125,""total"":47.5,""totalOdds"":-108,""awayML"":{""decimal"":2.4,""american"":140},""homeML"":{""decimal"":1.6289,""american"":-159}},{""date"":{""$date"":""2024-11-28T21:00:34.176Z""},""spread"":-2.5,""spreadOdds"":-121,""total"":47.5,""totalOdds"":-108,""awayML"":{""decimal"":2.36,""american"":136},""homeML"":{""decimal"":1.6494,""american"":-154}},{""date"":{""$date"":""2024-11-29T09:00:33.303Z""},""spread"":-2.5,""spreadOdds"":-122,""total"":47.5,""totalOdds"":-109,""awayML"":{""decimal"":2.37,""american"":137},""homeML"":{""decimal"":1.6452,""american"":-155}},{""date"":{""$date"":""2024-11-29T21:00:33.541Z""},""spread"":-2.5,""spreadOdds"":-122,""total"":47.5,""totalOdds"":-114,""awayML"":{""decimal"":2.37,""american"":137},""homeML"":{""decimal"":1.6452,""american"":-155}},{""date"":{""$date"":""2024-11-30T09:00:34.102Z""},""spread"":-2.5,""spreadOdds"":-123,""total"":47.5,""totalOdds"":-117,""awayML"":{""decimal"":2.38,""american"":138},""homeML"":{""decimal"":1.641,""american"":-156}},{""date"":{""$date"":""2024-11-30T21:00:33.220Z""},""spread"":-2.5,""spreadOdds"":-125,""total"":47.5,""totalOdds"":-117,""awayML"":{""decimal"":2.41,""american"":141},""homeML"":{""decimal"":1.625,""american"":-160}},{""date"":{""$date"":""2024-12-01T09:00:32.389Z""},""spread"":-3,""spreadOdds"":-104,""total"":47,""totalOdds"":-118,""awayML"":{""decimal"":2.4,""american"":140},""homeML"":{""decimal"":1.6289,""american"":-159}}]",23,23.8,-0.8,46.8,0,0,1,0,0,0,2,44,38,82,6,2024-12-01T18:00:00.000Z
4733347,2024,reg,13,IND,Indianapolis Colts,NE,New England Patriots,2.5,42.5,"[{""date"":{""$date"":""2024-11-25T09:00:34.830Z""},""spread"":2.5,""spreadOdds"":107,""total"":42,""totalOdds"":104,""awayML"":{""decimal"":1.6536,""american"":-153},""homeML"":{""decimal"":2.35,""american"":135}},{""date"":{""$date"":""2024-11-25T21:00:36.399Z""},""spread"":2.5,""spreadOdds"":104,""total"":42,""totalOdds"":101,""awayML"":{""decimal"":1.6711,""american"":-149},""homeML"":{""decimal"":2.32,""american"":132}},{""date"":{""$date"":""2024-11-26T09:00:33.971Z""},""spread"":2.5,""spreadOdds"":104,""total"":42,""totalOdds"":101,""awayML"":{""decimal"":1.6711,""american"":-149},""homeML"":{""decimal"":2.32,""american"":132}},{""date"":{""$date"":""2024-11-26T21:00:34.737Z""},""spread"":2.5,""spreadOdds"":106,""total"":42,""totalOdds"":101,""awayML"":{""decimal"":1.6579,""american"":-152},""homeML"":{""decimal"":2.34,""american"":134}},{""date"":{""$date"":""2024-11-27T09:00:34.503Z""},""spread"":2.5,""spreadOdds"":103,""total"":42,""totalOdds"":101,""awayML"":{""decimal"":1.6711,""american"":-149},""homeML"":{""decimal"":2.31,""american"":131}},{""date"":{""$date"":""2024-11-27T21:00:35.593Z""},""spread"":2.5,""spreadOdds"":103,""total"":42,""totalOdds"":101,""awayML"":{""decimal"":1.6711,""american"":-149},""homeML"":{""decimal"":2.31,""american"":131}},{""date"":{""$date"":""2024-11-28T09:00:33.805Z""},""spread"":2.5,""spreadOdds"":-103,""total"":42,""totalOdds"":101,""awayML"":{""decimal"":1.7092,""american"":-141},""homeML"":{""decimal"":2.25,""american"":125}},{""date"":{""$date"":""2024-11-28T21:00:34.336Z""},""spread"":2.5,""spreadOdds"":-102,""total"":42,""totalOdds"":101,""awayML"":{""decimal"":1.6993,""american"":-143},""homeML"":{""decimal"":2.26,""american"":126}},{""date"":{""$date"":""2024-11-29T09:00:33.462Z""},""spread"":2.5,""spreadOdds"":-102,""total"":42,""totalOdds"":101,""awayML"":{""decimal"":1.6993,""american"":-143},""homeML"":{""decimal"":2.26,""american"":126}},{""date"":{""$date"":""2024-11-29T21:00:33.721Z""},""spread"":2.5,""spreadOdds"":-103,""total"":42,""totalOdds"":103,""awayML"":{""decimal"":1.7143,""american"":-140},""homeML"":{""decimal"":2.24,""american"":124}},{""date"":{""$date"":""2024-11-30T09:00:34.244Z""},""spread"":2.5,""spreadOdds"":-103,""total"":42,""totalOdds"":103,""awayML"":{""decimal"":1.7143,""american"":-140},""homeML"":{""decimal"":2.24,""american"":124}},{""date"":{""$date"":""2024-11-30T21:00:33.379Z""},""spread"":2.5,""spreadOdds"":-102,""total"":42,""totalOdds"":103,""awayML"":{""decimal"":1.7092,""american"":-141},""homeML"":{""decimal"":2.24,""american"":124}},{""date"":{""$date"":""2024-12-01T09:00:32.530Z""},""spread"":2.5,""spreadOdds"":103,""total"":42.5,""totalOdds"":-107,""awayML"":{""decimal"":1.6897,""american"":-145},""homeML"":{""decimal"":2.28,""american"":128}}]",21.33,18.87,2.47,40.2,1,0,1,0,0,0,4,25,24,49,1,2024-12-01T18:00:00.000Z
4733348,2024,reg,13,ARI,Arizona Cardinals,MIN,Minnesota Vikings,-3.5,45,"[{""date"":{""$date"":""2024-11-25T09:00:35.107Z""},""spread"":-3.5,""spreadOdds"":-113,""total"":46,""totalOdds"":-112,""awayML"":{""decimal"":2.69,""american"":169},""homeML"":{""decimal"":1.5128,""american"":-195}},{""date"":{""$date"":""2024-11-25T21:00:36.645Z""},""spread"":-3.5,""spreadOdds"":-109,""total"":46,""totalOdds"":-113,""awayML"":{""decimal"":2.65,""american"":165},""homeML"":{""decimal"":1.5291,""american"":-189}},{""date"":{""$date"":""2024-11-26T09:00:34.188Z""},""spread"":-3.5,""spreadOdds"":-109,""total"":46,""totalOdds"":-113,""awayML"":{""decimal"":2.65,""american"":165},""homeML"":{""decimal"":1.5291,""american"":-189}},{""date"":{""$date"":""2024-11-26T21:00:34.897Z""},""spread"":-3.5,""spreadOdds"":-106,""total"":44.5,""totalOdds"":-104,""awayML"":{""decimal"":2.63,""american"":163},""homeML"":{""decimal"":1.5348,""american"":-187}},{""date"":{""$date"":""2024-11-27T09:00:34.721Z""},""spread"":-3.5,""spreadOdds"":100,""total"":44.5,""totalOdds"":-103,""awayML"":{""decimal"":2.55,""american"":155},""homeML"":{""decimal"":1.565,""american"":-177}},{""date"":{""$date"":""2024-11-27T21:00:35.773Z""},""spread"":-3.5,""spreadOdds"":-101,""total"":44.5,""totalOdds"":-103,""awayML"":{""decimal"":2.57,""american"":157},""homeML"":{""decimal"":1.5587,""american"":-179}},{""date"":{""$date"":""2024-11-28T09:00:33.984Z""},""spread"":-3.5,""spreadOdds"":101,""total"":44.5,""totalOdds"":-101,""awayML"":{""decimal"":2.55,""american"":155},""homeML"":{""decimal"":1.5682,""american"":-176}},{""date"":{""$date"":""2024-11-28T21:00:34.497Z""},""spread"":-3.5,""spreadOdds"":103,""total"":44.5,""totalOdds"":-100,""awayML"":{""decimal"":2.53,""american"":153},""homeML"":{""decimal"":1.5747,""american"":-174}},{""date"":{""$date"":""2024-11-29T09:00:33.642Z""},""spread"":-3.5,""spreadOdds"":102,""total"":44.5,""totalOdds"":-100,""awayML"":{""decimal"":2.54,""american"":154},""homeML"":{""decimal"":1.5682,""american"":-176}},{""date"":{""$date"":""2024-11-29T21:00:33.920Z""},""spread"":-3.5,""spreadOdds"":102,""total"":44.5,""totalOdds"":-100,""awayML"":{""decimal"":2.54,""american"":154},""homeML"":{""decimal"":1.5682,""american"":-176}},{""date"":{""$date"":""2024-11-30T09:00:34.421Z""},""spread"":-3.5,""spreadOdds"":103,""total"":44.5,""totalOdds"":-100,""awayML"":{""decimal"":2.53,""american"":153},""homeML"":{""decimal"":1.5747,""american"":-174}},{""date"":{""$date"":""2024-11-30T21:00:33.558Z""},""spread"":-3.5,""spreadOdds"":102,""total"":44.5,""totalOdds"":-100,""awayML"":{""decimal"":2.53,""american"":153},""homeML"":{""decimal"":1.5714,""american"":-175}},{""date"":{""$date"":""2024-12-01T09:00:32.690Z""},""spread"":-3.5,""spreadOdds"":106,""total"":45,""totalOdds"":-109,""awayML"":{""decimal"":2.48,""american"":148},""homeML"":{""decimal"":1.5917,""american"":-169}}]",22.64,25.14,-2.5,47.79,1,0,1,0,0,1,4,22,23,45,-1,2024-12-01T18:00:00.000Z
4733349,2024,reg,13,TEN,Tennessee Titans,WAS,Washington Commanders,-6,44.5,"[{""date"":{""$date"":""2024-11-25T09:00:35.348Z""},""spread"":-5.5,""spreadOdds"":-108,""total"":43,""totalOdds"":-106,""awayML"":{""decimal"":3.07,""american"":207},""homeML"":{""decimal"":1.4132,""american"":-242}},{""date"":{""$date"":""2024-11-25T21:00:36.920Z""},""spread"":-5.5,""spreadOdds"":-112,""total"":45,""totalOdds"":-118,""awayML"":{""decimal"":3.13,""american"":213},""homeML"":{""decimal"":1.4016,""american"":-249}},{""date"":{""$date"":""2024-11-26T09:00:34.328Z""},""spread"":-5.5,""spreadOdds"":-112,""total"":45,""totalOdds"":-118,""awayML"":{""decimal"":3.13,""american"":213},""homeML"":{""decimal"":1.4016,""american"":-249}},{""date"":{""$date"":""2024-11-26T21:00:35.058Z""},""spread"":-5.5,""spreadOdds"":-107,""total"":45,""totalOdds"":-112,""awayML"":{""decimal"":3.06,""american"":206},""homeML"":{""decimal"":1.4149,""american"":-241}},{""date"":{""$date"":""2024-11-27T09:00:34.881Z""},""spread"":-5.5,""spreadOdds"":-106,""total"":45,""totalOdds"":-117,""awayML"":{""decimal"":3.05,""american"":205},""homeML"":{""decimal"":1.4167,""american"":-240}},{""date"":{""$date"":""2024-11-27T21:00:35.972Z""},""spread"":-5.5,""spreadOdds"":-105,""total"":45,""totalOdds"":-117,""awayML"":{""decimal"":3.04,""american"":204},""homeML"":{""decimal"":1.4202,""american"":-238}},{""date"":{""$date"":""2024-11-28T09:00:34.183Z""},""spread"":-5.5,""spreadOdds"":-105,""total"":45,""totalOdds"":-117,""awayML"":{""decimal"":3.04,""american"":204},""homeML"":{""decimal"":1.4202,""american"":-238}},{""date"":{""$date"":""2024-11-28T21:00:34.694Z""},""spread"":-5.5,""spreadOdds"":-107,""total"":45,""totalOdds"":-117,""awayML"":{""decimal"":3.07,""american"":207},""homeML"":{""decimal"":1.4132,""american"":-242}},{""date"":{""$date"":""2024-11-29T09:00:33.822Z""},""spread"":-5.5,""spreadOdds"":-108,""total"":45,""totalOdds"":-117,""awayML"":{""decimal"":3.09,""american"":209},""homeML"":{""decimal"":1.4098,""american"":-244}},{""date"":{""$date"":""2024-11-29T21:00:34.082Z""},""spread"":-5.5,""spreadOdds"":-112,""total"":45,""totalOdds"":-117,""awayML"":{""decimal"":3.14,""american"":214},""homeML"":{""decimal"":1.3984,""american"":-251}},{""date"":{""$date"":""2024-11-30T09:00:34.564Z""},""spread"":-5.5,""spreadOdds"":-113,""total"":45,""totalOdds"":-117,""awayML"":{""decimal"":3.16,""american"":216},""homeML"":{""decimal"":1.3937,""american"":-254}},{""date"":{""$date"":""2024-11-30T21:00:33.738Z""},""spread"":-5.5,""spreadOdds"":-112,""total"":45,""totalOdds"":-116,""awayML"":{""decimal"":3.16,""american"":216},""homeML"":{""decimal"":1.3953,""american"":-253}},{""date"":{""$date"":""2024-12-01T09:00:32.831Z""},""spread"":-6,""spreadOdds"":-102,""total"":44.5,""totalOdds"":-108,""awayML"":{""decimal"":3.16,""american"":216},""homeML"":{""decimal"":1.3937,""american"":-254}}]",18.56,25.88,-7.31,44.44,1,0,1,0,0,0,4,19,42,61,-23,2024-12-01T18:00:00.000Z
4733350,2024,reg,13,LAC,L.A. Chargers Chargers,ATL,Atlanta Falcons,1,48,"[{""date"":{""$date"":""2024-11-26T21:00:35.198Z""},""spread"":1,""spreadOdds"":110,""total"":48,""totalOdds"":-111,""awayML"":{""decimal"":1.7634,""american"":-131},""homeML"":{""decimal"":2.16,""american"":116}},{""date"":{""$date"":""2024-11-27T09:00:35.062Z""},""spread"":1,""spreadOdds"":109,""total"":48,""totalOdds"":-104,""awayML"":{""decimal"":1.7692,""american"":-130},""homeML"":{""decimal"":2.15,""american"":115}},{""date"":{""$date"":""2024-11-27T21:00:36.153Z""},""spread"":1,""spreadOdds"":-103,""total"":48,""totalOdds"":-116,""awayML"":{""decimal"":1.8621,""american"":-116},""homeML"":{""decimal"":2.03,""american"":103}},{""date"":{""$date"":""2024-11-28T09:00:34.384Z""},""spread"":1,""spreadOdds"":-103,""total"":48,""totalOdds"":-116,""awayML"":{""decimal"":1.8621,""american"":-116},""homeML"":{""decimal"":2.03,""american"":103}},{""date"":{""$date"":""2024-11-28T21:00:34.876Z""},""spread"":1,""spreadOdds"":-105,""total"":48,""totalOdds"":-115,""awayML"":{""decimal"":1.8772,""american"":-114},""homeML"":{""decimal"":2.01,""american"":101}},{""date"":{""$date"":""2024-11-29T09:00:34.001Z""},""spread"":1,""spreadOdds"":-105,""total"":48,""totalOdds"":-115,""awayML"":{""decimal"":1.8772,""american"":-114},""homeML"":{""decimal"":2.01,""american"":101}},{""date"":{""$date"":""2024-11-29T21:00:34.281Z""},""spread"":1,""spreadOdds"":-103,""total"":48,""totalOdds"":-115,""awayML"":{""decimal"":1.8621,""american"":-116},""homeML"":{""decimal"":2.03,""american"":103}},{""date"":{""$date"":""2024-11-30T09:00:34.746Z""},""spread"":1,""spreadOdds"":-110,""total"":48,""totalOdds"":-115,""awayML"":{""decimal"":1.9174,""american"":-109},""homeML"":{""decimal"":1.9709,""american"":-103}},{""date"":{""$date"":""2024-11-30T21:00:33.940Z""},""spread"":1,""spreadOdds"":-105,""total"":48,""totalOdds"":-111,""awayML"":{""decimal"":1.8772,""american"":-114},""homeML"":{""decimal"":2.01,""american"":101}},{""date"":{""$date"":""2024-12-01T09:00:32.952Z""},""spread"":1,""spreadOdds"":-108,""total"":48,""totalOdds"":-115,""awayML"":{""decimal"":1.9009,""american"":-111},""homeML"":{""decimal"":1.9804,""american"":-102}}]",24.67,21.33,3.33,46,1,0,1,0,1,0,6,17,13,30,4,2024-12-01T18:00:00.000Z
